id_usuario,edad,género,ubicación,tipo_viajero,id_reserva,fecha_reserva,fecha_viaje,antelacion_reserva,duracion_viaje,numero_personas,tipo_paquete,costo_total,metodo_pago,destino,tipo_alojamiento,clase_vuelo,actividades_reservadas,numero_noches_estancia,promocion_aplicada,fuente_reserva,estado_reserva,mes_reserva,mes_viaje,estacionalidad,cancelacion_reserva,calificacion_usuario,comentarios,gasto_por_persona,gasto_por_duracion,rango_edad
U0001,37,femenino,mexico,turista,R00001,2024-04-09,2024-11-20,356,2,3,solo_vuelo,1670.4,tarjeta_de_crédito,tokio,Sin alojamiento,económica,Sin actividad,3,si,sitio_web,confirmada,5,12,temporada_baja,si,1,no_me_gustó_el_servicio,556.8,835.2,31-40
U0002,39,femenino,usa,turista,R00002,2024-12-09,2024-12-20,323,4,3,solo_vuelo,245.23,tarjeta_de_crédito,nueva_york,Sin alojamiento,primera_clase,Sin actividad,4,si,agente_de_viajes,cancelada,11,1,temporada_alta,si,3,no_me_gustó_el_servicio,81.74,61.31,31-40
U0003,29,otro,australia,turista,R00003,2024-04-02,2024-05-06,308,3,2,vuelo_hotel_tour,1107.86,tarjeta_de_crédito,barcelona,airbnb,ejecutiva,excursión_en_bote,3,si,sitio_web,cancelada,10,12,temporada_baja,si,1,problemas_con_la_reserva,553.93,369.29,19-30
U0004,31,femenino,uk,turista,R00004,2024-01-03,2024-12-15,56,14,2,vuelo_hotel,1243.29,paypal,nueva_york,hotel,económica,Sin actividad,9,si,agente_de_viajes,cancelada,5,1,temporada_baja,si,4,Sin comentarios,621.64,88.81,31-40
U0005,35,femenino,alemania,turista,R00005,2024-06-13,2024-08-27,64,4,1,solo_vuelo,1902.62,transferencia_bancaria,londres,Sin alojamiento,económica,Sin actividad,5,si,app_móvil,confirmada,5,6,temporada_alta,si,2,no_me_gustó_el_servicio,1902.62,475.66,31-40
U0006,35,otro,india,turista,R00006,2024-05-06,2024-09-14,1,14,2,solo_vuelo,416.78,transferencia_bancaria,cancun,Sin alojamiento,económica,Sin actividad,4,si,sitio_web,cancelada,1,3,temporada_baja,no,1,problemas_con_la_reserva,208.39,29.77,31-40
U0007,46,otro,uk,negocios,R00007,2024-04-19,2024-06-15,31,14,3,vuelo_hotel,1734.41,tarjeta_de_crédito,roma,hotel,primera_clase,Sin actividad,1,no,sitio_web,cancelada,11,2,temporada_alta,si,2,Sin comentarios,578.14,123.89,41-50
U0008,36,masculino,uk,negocios,R00008,2024-06-22,2024-08-21,206,4,3,vuelo_hotel,586.68,paypal,londres,airbnb,ejecutiva,Sin actividad,5,no,sitio_web,confirmada,3,6,temporada_alta,no,4,todo_bien,195.56,146.67,31-40
U0009,26,femenino,india,turista,R00009,2024-07-05,2024-08-07,198,14,1,vuelo_hotel,697.62,paypal,roma,resort,económica,Sin actividad,3,si,sitio_web,pendiente,12,6,temporada_alta,no,1,problemas_con_la_reserva,697.62,49.83,19-30
U0010,48,otro,usa,turista,R00010,2024-07-28,2024-09-01,319,12,4,vuelo_hotel,1659.61,paypal,nueva_york,airbnb,ejecutiva,Sin actividad,3,no,app_móvil,confirmada,1,6,temporada_baja,no,2,no_me_gustó_el_servicio,414.9,138.3,41-50
U0011,47,femenino,españa,turista,R00011,2024-08-07,2024-11-29,169,2,4,vuelo_hotel,1023.0,transferencia_bancaria,barcelona,airbnb,ejecutiva,Sin actividad,4,no,app_móvil,pendiente,6,12,temporada_alta,si,1,no_me_gustó_el_servicio,255.75,511.5,41-50
U0012,43,masculino,usa,turista,R00012,2024-08-05,2024-09-19,347,6,4,solo_vuelo,1819.89,paypal,cancun,Sin alojamiento,ejecutiva,Sin actividad,5,no,app_móvil,pendiente,10,9,temporada_alta,no,3,recomendado,454.97,303.32,41-50
U0013,45,otro,uk,negocios,R00013,2024-04-12,2024-10-11,248,9,4,vuelo_hotel_tour,1171.47,transferencia_bancaria,paris,airbnb,económica,Sin actividad,6,no,agente_de_viajes,cancelada,9,11,temporada_alta,si,2,Sin comentarios,292.87,130.16,41-50
U0014,24,femenino,alemania,turista,R00014,2024-01-15,2024-07-23,216,12,1,vuelo_hotel,1226.81,paypal,roma,resort,económica,Sin actividad,2,no,agente_de_viajes,pendiente,7,1,temporada_alta,no,1,no_me_gustó_el_servicio,1226.81,102.23,19-30
U0015,27,otro,alemania,negocios,R00015,2024-03-30,2024-09-14,127,10,2,solo_vuelo,1549.64,transferencia_bancaria,cancun,Sin alojamiento,primera_clase,Sin actividad,2,si,sitio_web,cancelada,1,12,temporada_alta,no,3,problemas_con_la_reserva,774.82,154.96,19-30
U0016,20,otro,mexico,turista,R00016,2024-10-22,2024-12-20,313,12,3,vuelo_hotel_tour,1558.62,transferencia_bancaria,cancun,airbnb,primera_clase,city_tour,3,no,app_móvil,confirmada,8,6,temporada_alta,si,5,todo_bien,519.54,129.88,19-30
U0017,27,femenino,australia,turista,R00017,2024-04-07,2024-11-13,338,9,4,vuelo_hotel_tour,668.48,tarjeta_de_crédito,paris,hotel,económica,Sin actividad,4,si,agente_de_viajes,cancelada,9,5,temporada_alta,si,4,todo_bien,167.12,74.28,19-30
U0018,43,femenino,australia,turista,R00018,2024-05-14,2024-08-26,133,2,3,vuelo_hotel,277.7,tarjeta_de_crédito,londres,hotel,económica,Sin actividad,3,si,app_móvil,pendiente,8,10,temporada_alta,si,2,todo_bien,92.57,138.85,41-50
U0019,39,otro,uk,turista,R00019,2024-06-16,2024-07-04,344,5,1,vuelo_hotel,1027.8,paypal,paris,hotel,primera_clase,Sin actividad,2,si,app_móvil,cancelada,12,12,temporada_baja,si,4,recomendado,1027.8,205.56,31-40
U0020,37,masculino,españa,negocios,R00020,2024-06-18,2024-07-22,266,12,2,vuelo_hotel_tour,263.4,tarjeta_de_crédito,barcelona,airbnb,ejecutiva,Sin actividad,5,no,agente_de_viajes,cancelada,8,1,temporada_alta,no,5,todo_bien,131.7,21.95,31-40
U0021,54,masculino,usa,negocios,R00021,2024-02-10,2024-08-29,340,2,2,vuelo_hotel,397.88,paypal,cancun,resort,económica,Sin actividad,6,si,agente_de_viajes,cancelada,3,5,temporada_baja,si,2,no_me_gustó_el_servicio,198.94,198.94,51-60
U0022,33,masculino,alemania,negocios,R00022,2024-10-23,2024-10-30,220,5,4,vuelo_hotel,1816.13,paypal,cancun,hotel,primera_clase,Sin actividad,3,no,agente_de_viajes,pendiente,7,1,temporada_alta,no,4,todo_bien,454.03,363.23,31-40
U0023,32,otro,españa,turista,R00023,2024-08-09,2024-08-28,56,13,2,vuelo_hotel,167.84,tarjeta_de_crédito,tokio,airbnb,económica,Sin actividad,3,no,app_móvil,cancelada,12,10,temporada_baja,no,1,problemas_con_la_reserva,83.92,12.91,31-40
U0024,32,femenino,alemania,turista,R00024,2024-06-30,2024-11-14,246,4,1,solo_vuelo,1894.68,tarjeta_de_crédito,tokio,Sin alojamiento,económica,Sin actividad,3,no,agente_de_viajes,confirmada,1,2,temporada_alta,si,1,problemas_con_la_reserva,1894.68,473.67,31-40
U0025,34,femenino,uk,turista,R00025,2024-04-28,2024-10-05,159,4,4,vuelo_hotel,1233.78,paypal,nueva_york,resort,ejecutiva,Sin actividad,7,si,app_móvil,pendiente,1,3,temporada_alta,no,3,problemas_con_la_reserva,308.44,308.44,31-40
U0026,62,otro,españa,turista,R00026,2024-02-09,2024-03-10,334,11,1,vuelo_hotel,1741.13,paypal,nueva_york,hotel,ejecutiva,Sin actividad,7,no,app_móvil,cancelada,4,1,temporada_baja,si,3,Sin comentarios,1741.13,158.28,60+
U0027,46,otro,españa,negocios,R00027,2024-07-29,2024-08-04,27,11,4,solo_vuelo,1645.58,transferencia_bancaria,barcelona,Sin alojamiento,primera_clase,Sin actividad,6,no,app_móvil,confirmada,1,11,temporada_baja,no,5,excelente_viaje,411.4,149.6,41-50
U0028,49,femenino,india,turista,R00028,2024-03-27,2024-12-25,9,5,1,solo_vuelo,192.27,transferencia_bancaria,tokio,Sin alojamiento,primera_clase,Sin actividad,7,no,app_móvil,cancelada,8,8,temporada_baja,si,5,recomendado,192.27,38.45,41-50
U0029,36,femenino,alemania,negocios,R00029,2024-02-08,2024-10-22,360,9,2,vuelo_hotel_tour,406.01,tarjeta_de_crédito,nueva_york,airbnb,ejecutiva,excursión_en_bote,7,no,sitio_web,cancelada,12,11,temporada_alta,no,5,recomendado,203.0,45.11,31-40
U0030,19,masculino,australia,negocios,R00030,2024-08-24,2024-11-16,247,5,4,solo_vuelo,1757.1,tarjeta_de_crédito,paris,Sin alojamiento,económica,Sin actividad,8,si,app_móvil,pendiente,1,10,temporada_alta,si,1,problemas_con_la_reserva,439.28,351.42,19-30
U0031,48,otro,mexico,negocios,R00031,2024-01-14,2024-03-11,338,13,4,vuelo_hotel,1049.75,paypal,cancun,airbnb,primera_clase,Sin actividad,5,no,app_móvil,cancelada,11,6,temporada_alta,si,5,todo_bien,262.44,80.75,41-50
U0032,62,masculino,india,negocios,R00032,2024-05-05,2024-12-26,231,6,3,solo_vuelo,1238.58,paypal,paris,Sin alojamiento,económica,Sin actividad,3,si,app_móvil,confirmada,12,7,temporada_alta,no,3,todo_bien,412.86,206.43,60+
U0033,47,masculino,india,negocios,R00033,2024-02-08,2024-08-04,280,7,1,solo_vuelo,939.28,tarjeta_de_crédito,nueva_york,Sin alojamiento,primera_clase,Sin actividad,2,no,agente_de_viajes,cancelada,6,12,temporada_baja,si,4,recomendado,939.28,134.18,41-50
U0034,47,otro,alemania,negocios,R00034,2024-04-05,2024-08-29,323,13,3,solo_vuelo,814.51,transferencia_bancaria,cancun,Sin alojamiento,primera_clase,Sin actividad,1,no,app_móvil,cancelada,2,11,temporada_alta,no,3,no_me_gustó_el_servicio,271.5,62.65,41-50
U0035,47,otro,uk,negocios,R00035,2024-01-22,2024-05-22,214,12,3,solo_vuelo,681.12,tarjeta_de_crédito,tokio,Sin alojamiento,ejecutiva,Sin actividad,8,no,app_móvil,cancelada,5,4,temporada_baja,si,5,todo_bien,227.04,56.76,41-50
U0036,26,femenino,usa,turista,R00036,2024-11-29,2024-12-08,264,9,1,solo_vuelo,501.29,tarjeta_de_crédito,tokio,Sin alojamiento,económica,Sin actividad,4,si,sitio_web,cancelada,9,4,temporada_alta,si,5,recomendado,501.29,55.7,19-30
U0037,45,femenino,india,turista,R00037,2024-04-07,2024-07-02,346,4,4,vuelo_hotel,1830.74,tarjeta_de_crédito,nueva_york,resort,primera_clase,Sin actividad,7,no,app_móvil,pendiente,8,6,temporada_alta,no,5,todo_bien,457.68,457.68,41-50
U0038,56,femenino,india,turista,R00038,2024-07-10,2024-09-14,344,7,1,solo_vuelo,1933.6,transferencia_bancaria,nueva_york,Sin alojamiento,económica,Sin actividad,8,no,app_móvil,pendiente,3,12,temporada_alta,no,2,todo_bien,1933.6,276.23,51-60
U0039,21,masculino,australia,turista,R00039,2024-02-05,2024-02-24,50,1,4,vuelo_hotel_tour,752.32,paypal,tokio,hotel,económica,city_tour,3,si,sitio_web,confirmada,11,11,temporada_baja,no,1,problemas_con_la_reserva,188.08,752.32,19-30
U0040,32,otro,usa,turista,R00040,2024-04-01,2024-09-25,11,8,3,vuelo_hotel,1151.71,tarjeta_de_crédito,nueva_york,resort,económica,Sin actividad,1,si,agente_de_viajes,pendiente,2,3,temporada_alta,no,5,excelente_viaje,383.9,143.96,31-40
U0041,21,otro,uk,turista,R00041,2024-11-15,2024-12-15,322,5,2,vuelo_hotel_tour,1619.23,transferencia_bancaria,londres,hotel,económica,Sin actividad,9,no,agente_de_viajes,cancelada,9,10,temporada_alta,si,5,recomendado,809.62,323.85,19-30
U0042,24,masculino,usa,turista,R00042,2024-03-15,2024-05-15,148,12,4,solo_vuelo,172.31,paypal,paris,Sin alojamiento,económica,Sin actividad,5,si,app_móvil,pendiente,3,11,temporada_baja,si,1,problemas_con_la_reserva,43.08,14.36,19-30
U0043,29,otro,australia,negocios,R00043,2024-02-19,2024-09-07,96,1,4,vuelo_hotel_tour,1519.54,transferencia_bancaria,barcelona,airbnb,ejecutiva,Sin actividad,9,si,agente_de_viajes,pendiente,8,6,temporada_alta,no,4,recomendado,379.88,1519.54,19-30
U0044,42,femenino,india,turista,R00044,2024-08-25,2024-10-22,144,12,1,vuelo_hotel,1241.08,paypal,nueva_york,hotel,económica,Sin actividad,5,si,agente_de_viajes,pendiente,7,4,temporada_alta,no,1,problemas_con_la_reserva,1241.08,103.42,41-50
U0045,43,otro,uk,turista,R00045,2024-07-12,2024-07-26,82,12,2,vuelo_hotel,1557.91,tarjeta_de_crédito,cancun,airbnb,económica,Sin actividad,9,si,agente_de_viajes,pendiente,10,3,temporada_alta,no,4,recomendado,778.96,129.83,41-50
U0046,63,otro,alemania,negocios,R00046,2024-07-18,2024-08-09,321,7,4,vuelo_hotel,364.75,paypal,nueva_york,airbnb,económica,Sin actividad,7,si,app_móvil,cancelada,10,3,temporada_baja,si,5,Sin comentarios,91.19,52.11,60+
U0047,34,masculino,mexico,turista,R00047,2024-04-14,2024-06-05,239,10,3,vuelo_hotel,1531.5,paypal,roma,hotel,primera_clase,Sin actividad,7,si,agente_de_viajes,confirmada,8,10,temporada_alta,no,3,recomendado,510.5,153.15,31-40
U0048,64,otro,alemania,turista,R00048,2024-02-19,2024-04-04,291,8,1,vuelo_hotel_tour,1164.56,tarjeta_de_crédito,tokio,resort,ejecutiva,tour_en_bus,6,no,agente_de_viajes,pendiente,11,6,temporada_alta,no,3,todo_bien,1164.56,145.57,60+
U0049,19,femenino,australia,turista,R00049,2024-09-18,2024-11-05,210,12,4,vuelo_hotel,317.58,paypal,nueva_york,airbnb,ejecutiva,Sin actividad,9,si,agente_de_viajes,pendiente,6,10,temporada_baja,no,2,problemas_con_la_reserva,79.4,26.46,19-30
U0050,37,masculino,españa,negocios,R00050,2024-07-14,2024-12-10,260,3,4,vuelo_hotel,827.05,tarjeta_de_crédito,cancun,airbnb,primera_clase,Sin actividad,8,no,sitio_web,pendiente,5,9,temporada_baja,si,1,problemas_con_la_reserva,206.76,275.68,31-40
U0051,55,femenino,usa,turista,R00051,2024-08-03,2024-09-28,62,14,1,vuelo_hotel_tour,1696.21,transferencia_bancaria,cancun,hotel,económica,city_tour,5,si,sitio_web,cancelada,3,12,temporada_baja,no,2,no_me_gustó_el_servicio,1696.21,121.16,51-60
U0052,41,masculino,alemania,turista,R00052,2024-01-11,2024-04-25,249,8,1,vuelo_hotel_tour,1504.98,transferencia_bancaria,tokio,hotel,económica,city_tour,3,si,sitio_web,confirmada,1,12,temporada_alta,no,1,problemas_con_la_reserva,1504.98,188.12,41-50
